,Stkcd,year,EX_INDAT_read,AT
498,000511,2017,,
499,000513,2016,,
500,000513,2017,,
501,000513,2018,26.0,23.0
502,000513,2019,17.0,4294.0
503,000513,2020,37.0,4694.0
504,000514,2016,,
505,000514,2017,,
506,000514,2018,19.0,10.0
507,000514,2019,15.0,2611.0
508,000514,2020,10.0,1360.0
509,000517,2016,,
510,000517,2017,,
511,000517,2018,19.0,9.0
512,000517,2019,15.0,3111.0
513,000517,2020,10.0,4141.0
514,000518,2016,,
515,000518,2017,,
516,000518,2018,26.0,1.0
517,000518,2019,17.0,2739.0
518,000518,2020,37.0,8981.0
519,000519,2016,,
520,000519,2017,,
521,000519,2018,15.0,27.0
524,000520,2016,,
525,000520,2017,,
526,000520,2018,2.0,47.0
527,000520,2019,2.0,6419.0
528,000520,2020,0.0,5058.0
529,000521,2016,,
530,000521,2017,,
531,000521,2018,22.0,23.0
532,000521,2019,22.0,4410.0
534,000524,2016,,
535,000524,2017,,
536,000524,2018,0.0,21.0
537,000524,2019,0.0,1358.0
538,000524,2020,0.0,7510.0
539,000526,2016,,
540,000526,2017,,
541,000526,2018,0.0,22.0
542,000526,2019,1.0,2201.0
543,000526,2020,0.0,1058.0
544,000528,2016,,
545,000528,2017,,
546,000528,2018,15.0,14.0
547,000528,2019,9.0,3102.0
548,000528,2020,16.0,4862.0
549,000529,2016,,
550,000529,2017,,
551,000529,2018,1.0,7.0
552,000529,2019,4.0,3311.0
553,000529,2020,9.0,2764.0
554,000530,2016,,
555,000530,2017,,
556,000530,2018,6.0,22.0
557,000530,2019,10.0,3503.0
558,000530,2020,8.0,3386.0
559,000531,2016,,
560,000531,2017,,
561,000531,2018,5.0,23.0
562,000531,2019,7.0,2653.0
563,000531,2020,5.0,3372.0
564,000532,2016,,
565,000532,2017,,
566,000532,2018,6.0,35.0
567,000532,2019,4.0,8725.0
568,000532,2020,2.0,4836.0
569,000533,2016,,
570,000533,2017,,
571,000533,2018,22.0,51.0
572,000533,2019,22.0,5814.0
573,000533,2020,27.0,3032.0
574,000534,2016,,
575,000534,2017,,
576,000534,2018,19.0,2.0
577,000534,2019,17.0,1241.0
578,000534,2020,37.0,1424.0
579,000536,2016,,
580,000536,2017,,
581,000536,2018,51.0,50.0
583,000536,2020,70.0,8863.0
584,000537,2016,,
585,000537,2017,,
586,000537,2018,19.0,12.0
587,000537,2019,15.0,3471.0
588,000537,2020,10.0,2455.0
589,000538,2016,,
590,000538,2017,,
591,000538,2018,26.0,26.0
592,000538,2019,17.0,4177.0
593,000538,2020,37.0,7142.0
594,000539,2016,,
595,000539,2017,,
596,000539,2018,5.0,3.0
597,000539,2019,7.0,1527.0
598,000539,2020,5.0,1094.0
599,000540,2016,,
600,000540,2017,,
601,000540,2018,19.0,224.0
604,000541,2016,,
605,000541,2017,,
606,000541,2018,22.0,9.0
607,000541,2019,22.0,1664.0
608,000541,2020,27.0,4098.0
609,000543,2016,,
610,000543,2017,,
611,000543,2018,5.0,18.0
612,000543,2019,7.0,2777.0
613,000543,2020,5.0,3412.0
614,000544,2016,,
615,000544,2017,,
616,000544,2018,0.0,8.0
617,000544,2019,0.0,2717.0
618,000544,2020,0.0,1539.0
619,000545,2016,,
620,000545,2017,,
621,000545,2018,23.0,15.0
622,000545,2019,16.0,3018.0
623,000545,2020,12.0,8694.0
624,000546,2016,,
625,000546,2017,,
626,000546,2018,1.0,9.0
627,000546,2019,2.0,896.0
628,000546,2020,2.0,1561.0
629,000547,2016,,
630,000547,2017,,
