,Stkcd,Time,INS
597,000539,2019-12-31,0.754992
598,000539,2020-12-31,0.7515200000000001
599,000540,2016-12-31,0.574794
600,000540,2017-12-31,0.563922
601,000540,2018-12-31,0.566802
602,000540,2019-12-31,0.549072
603,000540,2020-12-31,0.528248
604,000541,2016-12-31,0.453711
605,000541,2017-12-31,0.441177
606,000541,2018-12-31,0.447776
607,000541,2019-12-31,0.434272
608,000541,2020-12-31,0.48436799999999997
609,000543,2016-12-31,0.504932
610,000543,2017-12-31,0.509948
611,000543,2018-12-31,0.578438
612,000543,2019-12-31,0.6709180000000001
613,000543,2020-12-31,0.614189
614,000544,2016-12-31,0.780468
615,000544,2017-12-31,0.771267
616,000544,2018-12-31,0.796202
617,000544,2019-12-31,0.7858280000000001
618,000544,2020-12-31,0.771371
619,000545,2016-12-31,0.42074599999999995
620,000545,2017-12-31,0.40963700000000003
621,000545,2018-12-31,0.40118899999999996
622,000545,2019-12-31,0.400114
623,000545,2020-12-31,0.38560000000000005
624,000546,2016-12-31,0.6479
625,000546,2017-12-31,0.640526
626,000546,2018-12-31,0.629084
627,000546,2019-12-31,0.48654400000000003
628,000546,2020-12-31,0.401965
629,000547,2016-12-31,0.47923299999999996
630,000547,2017-12-31,0.43756
631,000547,2018-12-31,0.45217
632,000547,2019-12-31,0.423838
633,000547,2020-12-31,0.5287769999999999
634,000548,2016-12-31,0.339754
635,000548,2017-12-31,0.305591
636,000548,2018-12-31,0.323114
637,000548,2019-12-31,0.32589
638,000548,2020-12-31,0.32310000000000005
639,000550,2016-12-31,0.841306
640,000550,2017-12-31,0.827194
641,000550,2018-12-31,0.8436589999999999
642,000550,2019-12-31,0.8284590000000001
643,000550,2020-12-31,0.805016
644,000551,2016-12-31,0.405586
645,000551,2017-12-31,0.36863100000000004
646,000551,2018-12-31,0.384961
647,000551,2019-12-31,0.382712
648,000551,2020-12-31,0.38270000000000004
649,000552,2016-12-31,0.718229
650,000552,2017-12-31,0.700625
651,000552,2018-12-31,0.6684399999999999
652,000552,2019-12-31,0.639972
653,000552,2020-12-31,0.60532
654,000553,2016-12-31,0.326183
655,000553,2017-12-31,0.836003
656,000553,2018-12-31,0.8401000000000001
657,000553,2019-12-31,0.8431690000000001
658,000553,2020-12-31,0.8302719999999999
659,000554,2016-12-31,0.27811800000000003
660,000554,2017-12-31,0.278444
661,000554,2018-12-31,0.297154
662,000554,2019-12-31,0.262923
663,000554,2020-12-31,0.245748
664,000555,2016-12-31,0.714784
665,000555,2017-12-31,0.700013
666,000555,2018-12-31,0.646318
667,000555,2019-12-31,0.611466
668,000555,2020-12-31,0.5479200000000001
669,000557,2016-12-31,0.603508
670,000557,2017-12-31,0.598618
671,000557,2018-12-31,0.599623
672,000557,2019-12-31,0.598202
673,000557,2020-12-31,0.598404
674,000558,2016-12-31,0.555681
675,000558,2017-12-31,0.526474
676,000558,2018-12-31,0.47879600000000005
677,000558,2019-12-31,0.467
678,000558,2020-12-31,0.439118
679,000559,2016-12-31,0.599488
680,000559,2017-12-31,0.664443
681,000559,2018-12-31,0.6645730000000001
682,000559,2019-12-31,0.671724
683,000559,2020-12-31,0.705873
684,000560,2016-12-31,0.766734
685,000560,2017-12-31,0.5410929999999999
686,000560,2018-12-31,0.52482
687,000560,2019-12-31,0.45325899999999997
688,000560,2020-12-31,0.45327800000000007
689,000561,2016-12-31,0.616073
690,000561,2017-12-31,0.58951
691,000561,2018-12-31,0.5634899999999999
692,000561,2019-12-31,0.5673020000000001
693,000561,2020-12-31,0.570266
694,000565,2016-12-31,0.446046
695,000565,2017-12-31,0.40598700000000004
696,000565,2018-12-31,0.40550600000000003
697,000565,2019-12-31,0.40789200000000003
698,000565,2020-12-31,0.406662
699,000566,2016-12-31,0.5593130000000001
700,000566,2017-12-31,0.61826
701,000566,2018-12-31,0.552594
702,000566,2019-12-31,0.5032260000000001
703,000566,2020-12-31,0.491539
704,000568,2016-12-31,0.7336870000000001
705,000568,2017-12-31,0.735371
706,000568,2018-12-31,0.74206
707,000568,2019-12-31,0.760744
708,000568,2020-12-31,0.765445
709,000570,2016-12-31,0.379427
710,000570,2017-12-31,0.315299
711,000570,2018-12-31,0.312821
712,000570,2019-12-31,0.31045300000000003
713,000570,2020-12-31,0.32845199999999997
714,000572,2016-12-31,0.545868
715,000572,2017-12-31,0.535676
716,000572,2018-12-31,0.510312
717,000572,2019-12-31,0.466
718,000572,2020-12-31,0.4147
719,000573,2016-12-31,0.201374
720,000573,2017-12-31,0.21678899999999998
721,000573,2018-12-31,0.22360600000000003
722,000573,2019-12-31,0.22302700000000003
723,000573,2020-12-31,0.2297
724,000576,2016-12-31,0.49403
725,000576,2017-12-31,0.578923
726,000576,2018-12-31,0.483165
727,000576,2019-12-31,0.474565
728,000576,2020-12-31,0.455883
729,000581,2016-12-31,0.549709
730,000581,2017-12-31,0.478786
731,000581,2018-12-31,0.512405
732,000581,2019-12-31,0.5300860000000001
733,000581,2020-12-31,0.515538
734,000582,2016-12-31,0.8739650000000001
735,000582,2017-12-31,0.861819
736,000582,2018-12-31,0.896833
737,000582,2019-12-31,0.888061
738,000582,2020-12-31,0.851788
739,000584,2016-12-31,0.36139400000000005
740,000584,2017-12-31,0.381044
741,000584,2018-12-31,0.431401
742,000584,2019-12-31,0.378829
743,000584,2020-12-31,0.35537599999999997
744,000586,2016-12-31,0.405582
745,000586,2017-12-31,0.477445
746,000586,2018-12-31,0.42292
747,000586,2019-12-31,0.41619999999999996
