,Stkcd,Time,ROA_TTM
480,000505,2019-12-31,0.035205
481,000505,2020-12-31,0.040126
482,000506,2016-12-31,0.003056
483,000506,2017-12-31,-0.16461
484,000506,2018-12-31,0.011753
485,000506,2019-12-31,-0.012471
486,000506,2020-12-31,-0.196465
487,000507,2016-12-31,0.021477
488,000507,2017-12-31,0.02851
489,000507,2018-12-31,0.030266
490,000507,2019-12-31,0.03071
491,000507,2020-12-31,0.025289
492,000510,2016-12-31,0.037931
493,000510,2017-12-31,0.029965
494,000510,2018-12-31,0.068916
495,000510,2019-12-31,0.041829
496,000510,2020-12-31,0.04402
497,000511,2016-12-31,-0.12752
498,000511,2017-12-31,0.018604
499,000513,2016-12-31,0.089206
500,000513,2017-12-31,0.33963
501,000513,2018-12-31,0.070899
502,000513,2019-12-31,0.082543
503,000513,2020-12-31,0.110525
504,000514,2016-12-31,0.011101
505,000514,2017-12-31,0.015283
506,000514,2018-12-31,0.006756
507,000514,2019-12-31,0.041575
508,000514,2020-12-31,0.019115
509,000517,2016-12-31,0.015643
510,000517,2017-12-31,0.044568
511,000517,2018-12-31,0.029226
512,000517,2019-12-31,0.054592
513,000517,2020-12-31,0.032988
514,000518,2016-12-31,0.006057
515,000518,2017-12-31,0.010929
516,000518,2018-12-31,-0.031996
517,000518,2019-12-31,0.019
518,000518,2020-12-31,0.031798
519,000519,2016-12-31,0.020151
520,000519,2017-12-31,0.012032
521,000519,2018-12-31,0.034506
522,000519,2019-12-31,0.023815
523,000519,2020-12-31,0.023692
524,000520,2016-12-31,0.018665
525,000520,2017-12-31,0.096916
526,000520,2018-12-31,0.106446
527,000520,2019-12-31,0.051359
528,000520,2020-12-31,0.016765
529,000521,2016-12-31,0.020411
530,000521,2017-12-31,0.002536
531,000521,2018-12-31,0.002213
532,000521,2019-12-31,0.002924
533,000521,2020-12-31,-0.005222
534,000524,2016-12-31,0.036095
535,000524,2017-12-31,0.070001
536,000524,2018-12-31,0.048325
537,000524,2019-12-31,0.06175
538,000524,2020-12-31,-0.06316
539,000526,2016-12-31,-0.053426
540,000526,2017-12-31,0.006427
541,000526,2018-12-31,0.002836
542,000526,2019-12-31,0.003398
543,000526,2020-12-31,0.01203
544,000528,2016-12-31,0.002322
545,000528,2017-12-31,0.015257
546,000528,2018-12-31,0.035135
