,Stkcd,Time,BP
576,000539,2018-12-31,1.095456
577,000539,2019-12-31,1.146479
578,000539,2020-12-31,1.152063
579,000540,2019-12-31,0.979085
580,000540,2020-12-31,0.997174
581,000541,2016-12-31,0.495604
582,000541,2017-12-31,0.499912
583,000541,2018-12-31,0.718274
584,000541,2019-12-31,0.841408
585,000541,2020-12-31,0.872168
586,000543,2016-12-31,1.048532
587,000543,2017-12-31,1.22051
588,000543,2018-12-31,1.252118
589,000543,2019-12-31,1.227537
590,000543,2020-12-31,1.301319
591,000544,2016-12-31,0.712528
592,000544,2017-12-31,0.766271
593,000544,2018-12-31,1.072256
594,000544,2019-12-31,1.031666
595,000544,2020-12-31,1.001844
596,000545,2016-12-31,0.419934
597,000545,2017-12-31,0.485554
598,000545,2018-12-31,0.756416
599,000545,2019-12-31,0.774934
600,000545,2020-12-31,0.646058
601,000546,2016-12-31,0.716429
602,000546,2017-12-31,0.532337
603,000546,2018-12-31,0.82358
604,000546,2019-12-31,0.810697
605,000546,2020-12-31,0.992159
606,000547,2018-12-31,0.765576
607,000547,2019-12-31,0.658148
608,000547,2020-12-31,0.322433
609,000548,2016-12-31,0.487945
610,000548,2017-12-31,0.551806
611,000548,2018-12-31,0.795249
612,000548,2019-12-31,0.844852
613,000548,2020-12-31,0.90853
614,000550,2016-12-31,0.765529
615,000550,2017-12-31,1.020466
616,000550,2018-12-31,1.063348
617,000550,2019-12-31,1.064887
618,000550,2020-12-31,0.93825
619,000551,2016-12-31,0.649758
620,000551,2017-12-31,0.781675
621,000551,2018-12-31,0.962714
622,000551,2019-12-31,0.943562
623,000551,2020-12-31,0.890182
624,000552,2016-12-31,0.847737
625,000552,2017-12-31,0.924312
626,000552,2018-12-31,1.10771
627,000552,2019-12-31,1.208662
628,000552,2020-12-31,1.096437
629,000553,2016-12-31,0.374577
630,000553,2017-12-31,0.957429
631,000553,2018-12-31,1.013955
632,000553,2019-12-31,1.008758
633,000553,2020-12-31,1.089664
634,000554,2016-12-31,0.246389
635,000554,2017-12-31,0.340964
636,000554,2018-12-31,0.519125
637,000554,2019-12-31,0.547225
638,000554,2020-12-31,0.620835
639,000555,2016-12-31,0.692076
640,000555,2017-12-31,0.645927
641,000555,2018-12-31,0.734969
642,000555,2019-12-31,0.550679
643,000555,2020-12-31,0.563425
644,000557,2016-12-31,0.758928
645,000557,2018-12-31,0.994927
646,000557,2019-12-31,0.989384
647,000557,2020-12-31,0.903574
648,000558,2017-12-31,0.338225
649,000558,2018-12-31,0.535593
650,000558,2019-12-31,0.449228
651,000558,2020-12-31,0.478224
652,000559,2016-12-31,0.309892
653,000559,2017-12-31,0.338288
654,000559,2018-12-31,0.582555
655,000559,2019-12-31,0.563
656,000559,2020-12-31,0.677945
657,000560,2017-12-31,0.916255
658,000560,2018-12-31,0.962134
659,000560,2019-12-31,1.007779
660,000560,2020-12-31,1.038485
661,000561,2016-12-31,0.278069
662,000561,2017-12-31,0.429
663,000561,2018-12-31,0.610341
664,000561,2019-12-31,0.53969
665,000561,2020-12-31,0.578363
666,000565,2016-12-31,0.229409
667,000565,2017-12-31,0.433321
668,000565,2018-12-31,0.656569
669,000565,2019-12-31,0.561162
670,000565,2020-12-31,0.648918
671,000566,2016-12-31,0.533532
672,000566,2018-12-31,0.861358
673,000566,2019-12-31,0.780801
674,000566,2020-12-31,0.577204
675,000568,2016-12-31,0.280139
676,000568,2017-12-31,0.202377
677,000568,2018-12-31,0.348288
678,000568,2019-12-31,0.212664
679,000568,2020-12-31,0.102067
680,000570,2016-12-31,0.618941
681,000570,2017-12-31,0.8808
682,000570,2018-12-31,1.065652
683,000570,2019-12-31,0.982716
684,000570,2020-12-31,0.930436
685,000572,2016-12-31,1.04743
686,000572,2017-12-31,1.048752
687,000572,2018-12-31,1.247083
688,000572,2019-12-31,1.3214
689,000572,2020-12-31,0.94249
690,000573,2016-12-31,0.357615
691,000573,2017-12-31,0.706504
692,000573,2018-12-31,0.929921
693,000573,2019-12-31,0.916883
694,000573,2020-12-31,0.931405
695,000576,2016-12-31,0.223197
696,000576,2017-12-31,0.159386
697,000576,2018-12-31,0.529364
698,000576,2019-12-31,0.424508
699,000576,2020-12-31,0.404712
700,000581,2016-12-31,0.677482
701,000581,2017-12-31,0.739317
702,000581,2018-12-31,0.982606
703,000581,2019-12-31,0.978774
704,000581,2020-12-31,0.910959
705,000582,2016-12-31,0.88136
706,000582,2017-12-31,0.939715
707,000582,2018-12-31,0.990085
708,000582,2019-12-31,0.927068
709,000582,2020-12-31,0.83004
710,000584,2017-12-31,0.334099
711,000584,2018-12-31,0.691759
712,000584,2019-12-31,0.701291
713,000584,2020-12-31,0.771953
714,000586,2016-12-31,0.125038
715,000586,2017-12-31,0.148864
716,000586,2018-12-31,0.23265
717,000586,2019-12-31,0.269458
718,000586,2020-12-31,0.302592
719,000589,2016-12-31,0.911721
720,000589,2017-12-31,0.971809
721,000589,2018-12-31,1.084582
722,000589,2019-12-31,1.010558
723,000589,2020-12-31,0.970026
724,000590,2016-12-31,0.132679
725,000590,2017-12-31,0.228779
726,000590,2018-12-31,0.413934
